Country Name,Dependent variable Crime Rate,"2022  GDP per capita, PPP (current international $)","Unemployment, total (% of total labor force) (national estimate)",Urban land area (sq. km),Population density (people per sq. km of land area 2021),Individuals using the Internet (% of population)2022,"Primary completion rate, total (% of relevant age group 2021)",Sex ratio at birth (male births per female births) 2022,rate*(guns per 100 people,globalpeace index (1-5)
Italy,46.9,55908.2555,8.069,20916.7232,199.965416,85.0607,98.2387924,1.059,19.6,1.692
Jamaica,67.8,10826.0935,4.083,1022.3342,261.098338,85.1185,79.77,1.039,31.7,2.119
Japan,23.1,47118.3883,2.6,53452.061,344.805468,84.9234,100,1.051,6.7,1.525
Jordan,41,9871.87515,18.2,2170.09019,125.552154,90.5,96,1.049,14.4,1.998
Kazakhstan,52.7,36595.4067,4.86,6363.38993,7.10869949,92.2969,97.0019989,1.065,8.8,1.954
Kenya,57,5902.09197,5.81,3416.83689,93.1328214,40.8137,82,1.022,18.7,2.409
"Korea, Rep.",52.4,51621.9293,2.857,12473.4078,530.425605,97.1686,98.4761963,1.058,0.3,1.763
Kosovo,40.8,13939.4565,12.093,10887,146,96.6,97,1.069,2.8,2.053
Kuwait,32.6,56181.7077,2.12,772.942016,238.502469,99.8436,79.35,1.048,1.5,1.622
Kyrgyz Republic,54.6,6572.38276,4.06,2136.3381,35.3149114,79.7703,96.3199997,1.057,2.8,2.053
Latvia,37.7,41106.5271,6.815,676.268209,30.2826611,91.0301,98.0715408,1.065,0.3,1.661
Lebanon,46.2,12852.666,11.6,1871.96835,546.689247,90.0522,74,1.053,16.7,2.693
Libya,60.2,19487.901,19.32,2958.15104,3.8278624,88.4281,98.5,1.057,31.9,2.528
Lithuania,33,50997.279,5.956,1185.85017,44.7346909,87.7242,103.09063,1.052,13.3,1.672
Luxembourg,35.1,146457.021,4.588,283.497981,248.620682,98.242,76.8128815,1.052,2.4,1.011
Malaysia,52.9,35040.3101,3.93,11417.6354,102.18802,97.3986,101.075996,1.066,13.6,1.427
Maldives,54.5,22900.0588,4.42,14.3545306,1738.19,83.9119,91.75,1.05,18.9,1.548
Malta,42.5,59284.2656,2.921,173.523419,1620.425,91.5406,98.4732819,1.067,10.5,1.324
Mauritius,48.1,26579.7561,6.322,475.803542,634.118177,75.5,98.8182068,1.035,4.8,1.577
Mexico,54.4,23859.1256,3.256,28588.1316,65.1792165,78.6322,102.820198,1.039,19.6,2.778
Moldova,47.1,16301.7657,0.897,1576.10025,90.1103551,63.5349,106.399902,1.063,3,1.976
Monaco,24.6,240862,,2.77653297,17603.6468,98.3776,100,1.048,6.2,1.568
Mongolia,53.9,16559.0745,6.211,354.977872,2.14944909,83.9145,90.7440033,1.045,12.9,1.845
Montenegro,39.8,28319.5889,14.852,294.6492,46.0379926,88.2219,97.2949371,1.071,29.8,1.746
Morocco,46.8,9205.33594,11.79,4621.34825,83.0754739,89.9,100.300598,1.047,28.3,2.054
Mozambique,63.4,1565.54923,3.62,2943.19886,40.7908034,21.207,66.4,1.02,1.6,2.25
Myanmar,48.2,5682.54133,,5783.52945,82.4276955,44,92.75,1.066,39.1,2.25
Namibia,64.8,11987.413,19.75,342.317614,3.07321964,62.215,113,1.011,7.9,1.972
Nepal,37.6,4959.88346,10.92,3041.75474,209.522072,49.5609,100.757004,1.05,4.5,2.069
Netherlands,27.3,74541.7992,3.526,8322.48914,520.731928,92.5197,99.7,1.052,8.3,1.527
New Zealand,45.8,52327.6991,3.297,1970.29231,19.41172,95.7299,100.94,1.053,0.7,1.323
Nicaragua,48.8,7526.29038,4.98,992.829357,56.9265415,61.0524,88.9,1.035,15.4,2.295
Nigeria,65.5,6069.18711,3.821,25189.8687,234.308687,35.4563,85.22,1.038,3.2,2.907
North Macedonia,40.9,24179.5724,14.477,701.267863,72.8435369,84.2304,90.8816833,1.077,5.2,1.764
Norway,33.5,124252.833,3.231,2007.78451,14.8470091,99,99.2044983,1.062,2.6,1.638
Oman,19.7,42938.4446,3.3,1500.49427,14.6057221,97.849,88.5068665,1.043,28.8,1.761
